State,District,Latitude,Longitude
Andhra Pradesh,Adilabad,19.28451395,78.81321233
Andhra Pradesh,Anantapur,14.31206556,77.46015845
Andhra Pradesh,Chittoor,13.33109263,78.92763899
Andhra Pradesh,Cuddapah,14.49028913,78.69613871
Andhra Pradesh,East Godavari,16.78271832,82.24320747
Andhra Pradesh,Guntur,15.88492577,80.58657614
Andhra Pradesh,Hyderabad,17.38971556,78.46668889
Andhra Pradesh,Karimnagar,18.51548319,79.43765429
Andhra Pradesh,Khammam,17.68392133,80.67008644
Andhra Pradesh,Krishna,16.14387275,81.14805061
Andhra Pradesh,Kurnool,15.43759715,77.90086837
Andhra Pradesh,Mahbubnagar,16.63954622,77.98933089
Andhra Pradesh,Medak,17.88930498,78.13778902
Andhra Pradesh,Nalgonda,17.11325052,79.16984454
Andhra Pradesh,Nellore,13.89434407,80.14702672
Andhra Pradesh,Nizamabad,18.42948585,78.07523491
Andhra Pradesh,Prakasam,15.489039,80.1166579
Andhra Pradesh,Rangareddi,17.24523587,78.05756828
Andhra Pradesh,Srikakulam,18.570901,84.25874814
Andhra Pradesh,Vishakhapatnam,17.64683903,83.01014036
Andhra Pradesh,Vizianagaram,18.28329696,83.45982854
Andhra Pradesh,Warangal,18.01752609,79.87422029
Andhra Pradesh,West Godavari,16.63297944,81.45912991
